"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"salinitymean",0.93733665278897,0.36423565333297,0.248768319551188,0.92801169034316,1.67876626919501,0.909738886756748,6.5625411528318e-07
"ph",-0.118016491603663,0.190828409598182,-0.494435970932078,-0.117439776940222,0.255174611537936,-0.116256147178881,8.14133982950002e-07
"Intercept",-12.2581220105004,0.476337036134501,-13.3139679034032,-12.214265225592,-11.4443539652294,-12.1263382717304,4.45855527953399e-06
"intercept_pa",-3.58608126163824,0.550842019946377,-4.76577866934727,-3.55535108468579,-2.58339133506826,-3.5044342946513,1.78969321029091e-06
"silicatemax",0.533739287267672,0.280798464489525,-0.020404096163276,0.534787605123842,1.08186810896978,0.536806807053665,1.75912294710171e-07
"chlomean",0.246858167612463,0.165811541506574,-0.0772706868970366,0.246407438360315,0.573496430387394,0.245475393724046,9.93481993782013e-07
"windspeed",-0.20839818562671,0.104318204579714,-0.418594492143558,-0.206180825376716,-0.010022994970644,-0.201189077805437,3.75408932001633e-08
"sigma",0.735525017222043,0.0752682176909328,0.596411956688807,0.732557327574303,0.891699602456489,NA,NA
"range",7.54190782012941,1.20076744443929,5.53864913244806,7.41146969182627,10.2409267943609,NA,NA
"temp_sd",0.970513948984116,0.306460570833217,0.483372813515467,0.933775107490536,1.67075250215253,NA,NA
