"scientificName","decimalLongitude","decimalLatitude"
"boru",-74.1169444,11.3313611
"boru",-74.1286111,11.3298611
"boru",-81.7312333,12.5131333
"boru",-77.3268611,8.6167222
"boru",-74.1286111,11.3298611
"boru",-82.3381652832,21.5517673492
"boru",-64.691368103,18.2828216553
"boru",-74.1169444,11.3313611
"boru",-64.3207702637,18.7493495941
"boru",-68.3266677856,12.1658334732
"boru",-77.6961669922,24.439250946
"boru",-64.6136932373,17.8038406372
"boru",-87.3307647705,18.7670001984
"boru",-81.7258,12.5687
"boru",-64.6300964355,17.8105201721
"boru",-81.7333333,12.5004167
"boru",-87.6080474854,17.2218494415
"boru",-87.3059768677,20.3997993469
"boru",-78.1318817139,18.4641666412
"boru",-77.33625,8.6420555
"boru",-64.5780105591,17.7643108368
"boru",-87.4563903809,20.1141662598
"boru",-78.4653320312,20.5869674683
"boru",-77.3586666,8.6704166
"boru",-60.8444442749,11.1666669846
"boru",-77.0320129395,18.4248008728
"boru",-87.3029785156,20.4021892548
"boru",-75.7464444,10.2341944
"boru",-81.7312333,12.5131333
"boru",-74.1169444,11.3313611
"boru",-77.933687,9.139929
"boru",-82.3241653442,9.42331695557
"boru",-74.1283611,11.3256111
"boru",-77.3446666,8.639
"boru",-64.6103668213,17.7977790833
"boru",-77.3586666,8.6704166
"boru",-64.6954803467,18.281879425
"boru",-75.7464444,10.2341944
"boru",-64.6432495117,17.7866706848
"boru",-79.9716339111,21.6771335602
"boru",-81.7312333,12.5131333
"boru",-77.3268611,8.6167222
"boru",-64.6542205811,17.7672195435
"boru",-64.3207702637,18.7493495941
"boru",-74.1119444,11.3392777
"boru",-64.8088302612,17.7705001831
"boru",-81.1113128662,24.6255836487
"boru",-74.1169444,11.3313611
"boru",-77.7846679688,24.7450008392
"boru",-82.8099975586,9.75
"boru",-78.7029800415,20.6355991364
"boru",-87.8308334351,18.2286109924
"boru",-64.7294311523,18.2688293457
"boru",-64.5732192993,17.777639389
"boru",-74.1119444,11.3392777
"boru",-78.1272201538,22.4825000763
"boru",-64.7958984375,18.2648696899
"boru",-81.3762778,13.3178056
"boru",-62.986000061,17.4648342133
"boru",-74.1927777,11.2958888
"boru",-82.8050003052,9.73833370209
"boru",-77.3212661743,18.4701328278
"boru",-64.5806732178,17.7655296326
"boru",-74.1286111,11.3298611
"boru",-77.6961669922,24.439250946
"boru",-77.33625,8.6420555
"boru",-81.69695,12.5489166
"boru",-75.7464444,10.2341944
"boru",-81.6862833,12.5847166
"boru",-74.1283611,11.3256111
"boru",-64.5735931396,17.764509201
"boru",-77.3268611,8.6167222
"boru",-75.7464444,10.2341944
"boru",-64.6291656494,17.7644786835
"boru",-80.0432510376,19.6692504883
"boru",-87.8840484619,16.7413330078
"boru",-74.1286111,11.3298611
"boru",-81.3969667,13.3672333
"boru",-77.33625,8.6420555
"boru",-75.7888611,10.1708889
"boru",-63.2594985962,17.6281661987
"boru",-74.1283611,11.3256111
"boru",-80.9649963379,23.2930545807
"boru",-64.7562179565,18.244890213
"boru",-77.3446666,8.639
"boru",-87.6968307495,16.9156665802
"boru",-77.3587222,8.6621388
"boru",-75.7706389,10.1748611
"boru",-77.3566666,8.6721666
"boru",-75.7464444,10.2341944
"boru",-87.4433364868,19.8333339691
"boru",-62.9781684875,17.4634990692
"boru",-81.6818008423,21.5769672394
"boru",-64.7180633545,18.2716007233
"boru",-64.3207702637,18.7493495941
"boru",-74.2318611,11.2490277
"boru",-78.7971343994,9.51165008545
"boru",-81.3969667,13.3672333
"boru",-81.3762778,13.3178056
"boru",-75.7464444,10.2341944
"boru",-76.9763870239,26.5972499847
"boru",-64.6680374146,17.7800998688
"boru",-74.1283611,11.3256111
"boru",-75.7888611,10.1708889
"boru",-78.1318817139,18.4641666412
"boru",-81.393081665,24.5645999908
"boru",-78.3557815552,18.3420505524
"boru",-38.601389,-17.721389
"boru",-77.3268611,8.6167222
"boru",-81.4143944,13.3655167
"boru",-64.6630783081,18.3458003998
"boru",-79.2188644409,20.9701156616
"boru",-74.1283611,11.3256111
"boru",-64.6014022827,17.762840271
"boru",-64.7939529419,18.2649002075
"boru",-74.1286111,11.3298611
"boru",-82.3302154541,21.5487995148
"boru",-75.7706389,10.1748611
"boru",-81.4624862671,21.9635162354
"boru",-66.884185791,11.8002328873
"boru",-74.1927777,11.2958888
"boru",-83.1945037842,21.6178836823
"boru",-87.4630584717,20.0974998474
"boru",-64.5833511353,17.7691707611
"boru",-87.5369415283,19.1375007629
"boru",-77.33625,8.6420555
"boru",-75.8908333,9.8219444
"boru",-62.9878349304,17.4643325806
"boru",-82.0659332275,9.27276706696
"boru",-75.7464444,10.2341944
"boru",-64.6190338135,17.7635402679
"boru",-63.2584991455,17.6163330078
"boru",-74.1286111,11.3298611
"boru",-77.33625,8.6420555
"boru",-75.7888611,10.1708889
"boru",-81.4304351807,21.9124336243
"boru",-64.5663909912,17.7610607147
"boru",-74.1283611,11.3256111
"boru",-77.33625,8.6420555
"boru",-79.5581512451,21.2176990509
"boru",-78.6803970337,20.6442337036
"boru",-74.2208888,11.2498886
"boru",-77.3566666,8.6721666
"boru",-81.8751831055,24.4528675079
"boru",-77.3566666,8.6721666
"boru",-64.591796875,17.8013401031
"boru",-75.7853889,9.7774167
"boru",-83.0335006714,12.0301198959
"boru",-74.2318611,11.2490277
"boru",-66.8952331543,11.8811330795
"boru",-77.3566666,8.6721666
"boru",-77.3587222,8.6621388
"boru",-78.3653488159,18.2602996826
"boru",-78.7971343994,9.51165008545
"boru",-74.1169444,11.3313611
"boru",-80.9002761841,23.2880554199
"boru",-77.9709472656,18.4534492493
"boru",-65.5697860718,18.3739337921
"boru",-75.7706389,10.1748611
"boru",-74.2318611,11.2490277
"boru",-74.1286111,11.3298611
"boru",-71.5177001953,21.4832668304
"boru",-74.1119444,11.3392777
"boru",-87.3307647705,18.7670001984
"boru",-79.8874816895,19.6798667908
"boru",-68.75,12.0166664124
"boru",-64.6793212891,18.285320282
"boru",-74.1283611,11.3256111
"boru",-64.6380462646,17.7938098907
"boru",-75.7464444,10.2341944
"boru",-64.7646331787,18.3175506592
"boru",-81.6851,12.5831666
"boru",-75.7464444,10.2341944
"boru",-64.6323699951,17.790599823
"boru",-74.1283611,11.3256111
"boru",-87.8316650391,18.219165802
"boru",-82.0346984863,9.26045036316
"boru",-75.7706389,10.1748611
"boru",-74.1286111,11.3298611
"boru",-74.1283611,11.3256111
"boru",-81.4257965088,21.9022674561
"boru",-71.5177001953,21.4832668304
"boru",-82.0516662598,9.27106666565
"boru",-59.643611908,13.1872224808
"boru",-64.6201324463,17.8080692291
"boru",-74.05391667,11.33708333
"boru",-93.5914993286,27.9053325653
"boru",-75.7888611,10.1708889
"boru",-74.1119444,11.3392777
"boru",-74.1169444,11.3313611
"boru",-82.8099975586,9.75
"boru",-77.3566666,8.6721666
"boru",-78.9063796997,9.54524993896
"boru",-64.7693481445,18.2541809082
"boru",-77.6478805542,24.3013000488
"boru",-77.3268611,8.6167222
"boru",-81.69695,12.5489166
"boru",-69.6251602173,18.4343109131
"boru",-62.9850006104,17.4643325806
"boru",-74.1283611,11.3256111
"boru",-76.6051330566,18.2340164185
"boru",-81.7333333,12.5004167
"boru",-74.1283611,11.3256111
"boru",-74.1283611,11.3256111
"boru",-74.1283611,11.3256111
"boru",-64.7465515137,18.3041591644
"boru",-81.0765991211,19.333366394
"boru",-87.4343032837,18.5258998871
"boru",-77.33625,8.6420555
"boru",-74.1286111,11.3298611
"boru",-68.4274978638,12.2583332062
"boru",-77.3268611,8.6167222
"boru",-74.1169444,11.3313611
"boru",-74.1283611,11.3256111
"boru",-77.3446666,8.639
"boru",-64.6123275757,17.7635803223
"boru",-74.1283611,11.3256111
"boru",-81.1053009033,19.2927494049
"boru",-74.1286111,11.3298611
"boru",-75.7888611,10.1708889
"boru",-64.7678985596,18.2749996185
"boru",-74.1283611,11.3256111
"boru",-64.8258132935,18.2494392395
"boru",-75.7706389,10.1748611
"boru",-77.3446666,8.639
"boru",-71.2231369019,21.3033504486
"boru",-62.9824981689,17.4640007019
"boru",-87.6175003052,18.9133338928
"boru",-74.1286111,11.3298611
"boru",-63.2594985962,17.6248340607
"boru",-77.3212661743,18.4701328278
"boru",-93.5914993286,27.9053325653
"boru",-78.5966339111,20.626832962
"boru",-81.7312333,12.5131333
"boru",-80.625405,24.837035
"boru",-74.1283611,11.3256111
"boru",-93.8089981079,27.921667099
"boru",-64.6007232666,17.7816696167
"boru",-74.1119444,11.3392777
"boru",-82.3241653442,9.42331695557
"boru",-75.7464444,10.2341944
"boru",-80.2127761841,23.1511116028
"boru",-74.2208888,11.2498886
"boru",-66.6226654053,11.9542837143
"boru",-77.3586666,8.6704166
"boru",-74.1283611,11.3256111
"boru",-64.7134017944,18.2724990845
"boru",-82.0346984863,9.26045036316
"boru",-64.5750732422,17.7635993958
"boru",-81.69695,12.5489166
"boru",-83.0554962158,12.2013702393
"boru",-87.8871154785,16.7269001007
"boru",-75.7706389,10.1748611
"boru",-81.4032,13.3713833
"boru",-75.7706389,10.1748611
"boru",-78.0753479004,18.4590835571
"boru",-64.584197998,17.7776203156
"boru",-68.4274978638,12.2583332062
"boru",-81.7333333,12.5004167
"boru",-74.1286111,11.3298611
"boru",-82.4307861328,21.5442829132
"boru",-64.7708129883,18.2732391357
"boru",-81.7333333,12.5004167
"boru",-74.1286111,11.3298611
"boru",-74.1927777,11.2958888
"boru",-75.7853889,9.7774167
"boru",-64.8276977539,18.2473201752
"boru",-74.1283611,11.3256111
"boru",-79.2188644409,20.9701156616
"boru",-75.7464444,10.2341944
"boru",-78.1318817139,18.4641666412
"boru",-81.69695,12.5489166
"boru",-87.5988922119,18.7233333588
"boru",-87.5927200317,17.1718673706
"boru",-64.6100234985,17.8023109436
"boru",-64.2386703491,18.5640163422
"boru",-79.5850296021,21.2994327545
"boru",-81.4051513672,24.5460739136
"boru",-75.8908333,9.8219444
"boru",-81.3752778,13.3136389
"boru",-79.5849990845,22.8336105347
"boru",-75.9233889,9.7905833
"boru",-74.05391667,11.33708333
"boru",-71.1535186768,21.4792327881
"boru",-81.1053009033,19.2927494049
"boru",-80.5886077881,23.2366657257
"boru",-74.1119444,11.3392777
"boru",-74.2208888,11.2498886
"boru",-79.8697814941,19.6822166443
"boru",-87.4433364868,19.8333339691
"boru",-77.3587222,8.6621388
"boru",-81.3752778,13.3136389
"boru",-82.8050003052,9.73833370209
"boru",-78.7029800415,20.6355991364
"boru",-75.7706389,10.1748611
"boru",-81.2915496826,19.3803005219
"boru",-74.1286111,11.3298611
"boru",-64.7410202026,18.3081703186
"boru",-81.3906333,13.3887667
"boru",-65.5336532593,18.3603496552
"boru",-64.5775909424,17.7596092224
"boru",-80.9649963379,23.2930545807
"boru",-64.7910690308,18.2682094574
"boru",-87.9739303589,16.5263824463
"boru",-75.7464444,10.2341944
"boru",-74.2208888,11.2498886
"boru",-74.1283611,11.3256111
"boru",-80.5877761841,23.2422218323
"boru",-74.1119444,11.3392777
"boru",-93.8089981079,27.921667099
"boru",-87.7440490723,17.59375
"boru",-64.6343765259,17.7652397156
"boru",-74.2318611,11.2490277
"boru",-75.7706389,10.1748611
"boru",-77.3446666,8.639
"boru",-76.9884643555,26.3977832794
"boru",-82.9804000854,12.3156795502
"boru",-64.6311264038,17.8008098602
"boru",-81.8751831055,24.4528675079
"boru",-75.7706389,10.1748611
"boru",-80.2127761841,23.1511116028
"boru",-74.1169444,11.3313611
"boru",-77.6527786255,22.1769447327
"boru",-77.3268611,8.6167222
"boru",-75.7706389,10.1748611
"boru",-87.9350128174,17.3858833313
"boru",-78.7520141602,20.6728000641
"boru",-80.0260314941,19.6771335602
"boru",-64.3375015259,18.5083332062
"boru",-61.3487167358,12.6357164383
"boru",-81.7333333,12.5004167
"boru",-64.7987670898,18.324590683
"boru",-77.33625,8.6420555
"boru",-75.7888611,10.1708889
"boru",-64.6087875366,17.7890892029
"boru",-75.7464444,10.2341944
"boru",-63.2249984741,17.6149997711
"boru",-87.8308334351,18.2286109924
"boru",-64.5120391846,17.7595100403
"boru",-82.8053359985,9.72500038147
"boru",-64.7010192871,18.2817993164
"boru",-79.9943313599,21.7130661011
"boru",-75.7706389,10.1748611
"boru",-80.126663208,23.1000003815
"boru",-75.9233889,9.7905833
"boru",-64.7732620239,18.3199996948
"boru",-75.7706389,10.1748611
"boru",-64.6367034912,17.8101406097
"boru",-60.5294456482,11.3561105728
"boru",-75.7706389,10.1748611
"boru",-77.3586666,8.6704166
"boru",-74.2208888,11.2498886
"boru",-64.7697372437,18.2735900879
"boru",-82.3171463013,21.5627841949
"boru",-77.3586666,8.6704166
"boru",-76.2076389,9.3801111
"boru",-79.6794433594,22.8938884735
"boru",-64.6883468628,18.3426704407
"boru",-64.7555007935,17.7871170044
"boru",-64.6314544678,17.7866725922
"boru",-59.6436111111,13.1872222222
"boru",-87.9739303589,16.5263824463
"boru",-83.047996521,12.1901302338
"boru",-88.018913269,17.6726837158
"boru",-74.1283611,11.3256111
"boru",-81.4835968018,22.1089839935
"boru",-74.1927777,11.2958888
"boru",-76.2873687744,18.0738334656
"boru",-80.8599472046,24.7235507965
"boru",-76.6051330566,18.2340164185
"boru",-64.5921478271,17.779340744
"boru",-77.3566666,8.6721666
"boru",-74.1286111,11.3298611
"boru",-87.5989303589,17.1384162903
"boru",-74.1286111,11.3298611
"boru",-75.7706389,10.1748611
"boru",-81.5466842651,22.1014671326
"boru",-77.3268611,8.6167222
"boru",-75.7706389,10.1748611
"boru",-64.7021408081,18.3401699066
"boru",-80.4151153564,24.9860496521
"boru",-77.33625,8.6420555
"boru",-74.1286111,11.3298611
"boru",-64.5913314819,17.780210495
"boru",-68.3528366089,12.2183332443
"boru",-74.1283611,11.3256111
"boru",-77.3566666,8.6721666
"boru",-77.3587222,8.6621388
"boru",-64.63646698,17.7906398773
"boru",-77.33625,8.6420555
"boru",-77.33625,8.6420555
"boru",-74.1283611,11.3256111
"boru",-74.1283611,11.3256111
"boru",-81.4304351807,21.9124336243
"boru",-74.1283611,11.3256111
"boru",-77.3446666,8.639
"boru",-79.9442977905,21.666683197
"boru",-74.1286111,11.3298611
"boru",-77.3587222,8.6621388
"boru",-62.9666671753,17.4648342133
"boru",-74.1286111,11.3298611
"boru",-80.0783309937,19.6849327087
"boru",-64.7690963745,18.2743606567
"boru",-80.9649963379,23.2930545807
